Cod_Bairro,Bairro,IDHB2010,IDHB2010Educação,IDHB2010Renda,IDHB2010 Classificação ,População Total,Número de Cor/Raça Amarela,Número de Cor/Raça Branca,Número de Cor/Raça Indígena,Número de Cor/Raça Parda,Número de Cor/Raça Preta,Número de Cor/Raça Sem declaração,RENDA MÉDIA MENSAL ALFABETIZADOS (R$),RENDA MÉDIA MENSAL NÃO ALFABETIZADOS (R$)
230440070089,Prefeito José Walter,"0,3953","0,9656","0,1086",Muito Baixo,33.427,606,12347,78,18787,1609,0,"621,15","392,95"
230440005033,Presidente Kennedy,"0,4290","0,9626","0,1575",Muito Baixo,23.004,290,9319,10,12700,685,0,"798,99","374,00"
230440060048,Quintino Cunha,"0,2225","0,9281","0,0550",Muito Baixo,47.277,891,15630,71,28681,2004,0,"439,12","298,00"
230440005034,Rodolfo Teófilo,"0,4819","0,9727","0,1693",Muito Baixo,19.114,207,7721,18,10265,903,0,"835,88","387,22"
230440065070,Sabiaguaba,"0,2673","0,8897","0,0908",Muito Baixo,2.117,39,437,10,1447,184,0,"578,57","340,31"
230440065071,Salinas,"0,4913","0,9585","0,4417",Muito Baixo,4.298,88,2058,14,2009,129,0,"1828,33","351,12"
230440065119,São Bento,"0,1983","0,9251","0,0572",Muito Baixo,11.964,136,3891,6,7184,747,0,"445,65","319,22"
230440005035,São João do Tauapé,"0,4915","0,9605","0,1905",Muito Baixo,27.598,242,11707,25,14637,987,0,"920,41","342,92"
230440075107,Serrinha,"0,2829","0,9302","0,0819",Muito Baixo,28.77,522,9365,46,16977,1858,2,"534,80","343,57"
230440070090,Siqueira,"0,1487","0,8957","0,0256",Muito Baixo,33.628,447,8264,21,22938,1958,0,"329,10","309,07"
230440005036,Varjota,"0,7176","0,9919","0,5598",Alto,8.421,88,4465,12,3660,196,0,"2187,83","518,44"
230440005037,Vicente Pinzon,"0,3315","0,9261","0,1301",Muito Baixo,45.518,543,17372,40,25453,2110,0,"721,38","281,98"
230440005038,Vila Ellery,"0,4157","0,9676","0,1336",Muito Baixo,7.863,149,3113,4,4370,227,0,"710,92","374,23"
230440075108,Vila Pery,"0,3417","0,9636","0,0842",Muito Baixo,20.645,424,7764,19,11690,748,0,"536,03","355,36"
230440075109,Vila União,"0,4671","0,9666","0,1957",Muito Baixo,15.378,177,6235,6,8489,471,0,"934,71","352,99"
230440005039,Vila Velha,"0,2717","0,9413","0,0724",Muito Baixo,61.617,761,20406,44,38211,2195,0,"501,04","300,58"
