Cear&aacute; | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2017],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2021],Densidade demogr&aacute;fica - hab/km&sup2; [2010],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020],
Irau&ccedil;uba,2306108,irau&ccedil;ubense,PATR&Iacute;CIA MARIA SANTOS BARRETO,1466.412,24450,15.28,95.2,0.605,16.44,57618.57886,51199.17333,7899.33,
Itai&ccedil;aba,2306207,itai&ccedil;abense,FRANK GOMES FREITAS,213.604,7904,34.49,99.5,0.656,10.99,24405.74731,21829.31688,9726.35,
Itaitinga,2306256,Itaitinguense,PAULO CESAR FEITOSA ARRAIS,153.686,38661,236.51,91.4,0.626,4.27,100395.80561,91053.8776,23330.76,
Itapaj&eacute;,2306306,itapajeense,MARIA GORETE BARROSO MAGALHAES CAETANO,432.188,53448,110.01,97.1,0.623,4.55,113391.49212,101400.18181,10655.60,
Itapipoca,2306405,itapipoquense,FELIPE SOUZA PINHEIRO,1600.358,131687,71.90,97.9,0.640,14.95,268626.66471,239926.54933,12210.38,
Itapi&uacute;na,2306504,itapiunense,FRANCISCO D&Aacute;RIO DE OLIVEIRA COELHO,593.231,20653,31.64,95.3,0.604,4.93,65456.73673,45448.28476,7944.20,
Itarema,2306553,itaremense,ELIZEU CHARLES MONTEIRO,714.833,42595,52.00,96.6,0.606,12.61,100102.24161,93239.96143,16498.65,
Itatira,2306603,itatirense,JOS&Eacute; FERREIRA MATEUS,829.626,22018,24.12,97.6,0.562,9.4,76025.83975,60600.42204,7302.96,
Jaguaretama,2306702,jaguaretamense,FRANCISCO GLAIRTON RABELO CUNHA,1826.826,18133,10.15,96.7,0.612,4.44,49201.83037,35976.64248,11306.81,
Jaguaribara,2306801,jaguaribarense,JOACY ALVES DOS SANTOS JUNIOR,622.963,11580,15.55,97.4,0.618,29.2,28167.84306,26656.01281,12327.89,
Jaguaribe,2306900,jaguaribano,ALEXANDRE GOMES DIOGENES,1877.062,34592,18.33,96.4,0.621,22.17,85507.21442,82644.15907,16054.82,
Jaguaruana,2307007,jaguaruanense,ROBERTO BARBOSA MOREIRA,854.362,33960,37.16,98.4,0.624,8.5,69049.41624,69046.51936,14165.41,
Jardim,2307106,jardinense,ANIZIARIO JORGE COSTA,544.980,27187,48.31,98.4,0.614,9.01,58468.86665,52203.50615,9576.90,
Jati,2307205,jatiense,MONICA ROSANY PEREIRA MARIANO,368.359,8150,21.21,98.1,0.651,-,32089.96358,28222.35564,14536.25,
Jijoca de Jericoacoara,2307254,jijoquense,LINDBERGH MARTINS,209.029,20351,83.02,98.8,0.652,12.76,62313.16657,60923.78966,21191.38,
Juazeiro do Norte,2307304,juazeirense,GL&Ecirc;DSON LIMA BEZERRA,258.788,278264,1004.45,97.3,0.694,13.56,672950.28823,522709.24412,17354.57,
Juc&aacute;s,2307403,jucaense,JOSE EDSONRIVA SOUZA CUNHA,940.336,24949,25.40,97.5,0.598,7.04,55718.34201,53527.80103,11072.76,
Lavras da Mangabeira,2307502,lavrense ou lavraense,RONALDO PEDROSA LIMA,945.263,31476,32.80,97.2,0.613,14.97,67220.81129,56816.99038,9065.59,
Limoeiro do Norte,2307601,limoeirense,JOS&Eacute; MARIA DE OLIVEIRA LUCENA,744.525,60232,74.91,98,0.682,8.21,115645.24638,106746.35266,20414.96,
Madalena,2307635,madalenense,MARIA S&Ocirc;NIA DE OLIVEIRA COSTA,997.781,20031,17.48,98.3,0.610,17.14,41301.98044,39124.62753,8115.58,
Maracana&uacute;,2307650,maracanauense,ROBERTO SOARES PESSOA,105.071,230986,1960.25,97.4,0.686,9.43,724429.98265,657108.09501,43116.46,
Maranguape,2307700,maranguapense,ATILA CORDEIRO CAMARA,583.505,131677,192.19,94.9,0.659,12.08,197385.57777,193904.06851,11511.56,
Marco,2307809,marquense,ROGER NEVES AGUIAR,573.610,27822,43.03,97.4,0.612,23.68,64664.2363,57587.68763,12396.07,
Martin&oacute;pole,2307908,martinolopolitano ou martinolopense,FRANCISCO FONTENELE JUNIOR,303.445,11407,34.16,97.8,0.599,5.29,30155.02181,29615.54391,7862.38,
Massap&ecirc;,2308005,massapeense,ALINE AGUIAR ALBUQUERQUE,567.780,39341,62.11,98.3,0.616,20.34,101272.15812,81630.43037,8202.32,
Mauriti,2308104,mauritiense,ISAAC GOMES DA SILVA JUNIOR,1079.011,48370,42.15,98.1,0.605,22.22,88623.54391,87085.54274,9811.91,
Meruoca,2308203,meruoquense,JOS&Eacute; HERTON ALVES DE SOUSA,151.651,15309,91.38,97.8,0.618,10.42,40227.84038,35949.35702,7904.84,
Milagres,2308302,milagrense,C&Iacute;CERO ALVES DE FIGUEIREDO,579.097,27413,46.69,96.2,0.628,23.05,62154.81674,53491.71754,10086.12,
Milh&atilde;,2308351,milhaense,LUIZ ALAN PINHEIRO MAC&Ecirc;DO,502.137,13129,26.05,97.5,0.626,21.43,35731.74713,31509.00394,12821.42,
Mira&iacute;ma,2308377,miraimense,ANTONIO EDNARDO BRAGA LIMA FILHO,708.678,13965,18.29,98.6,0.592,5.29,31540.70901,31469.47985,7289.46,
Miss&atilde;o Velha,2308401,miss&atilde;ovelhense,DIEGO GONDIM FEITOSA,613.317,35566,53.08,96.8,0.622,12.09,75644.0299,68822.84345,12954.13,
Momba&ccedil;a,2308500,mombacense,ORLANDO BENEVIDES CAVALCANTE FILHO,2115.748,43917,20.14,96.4,0.582,12.77,82316.49363,75706.9863,9398.42,
Monsenhor Tabosa,2308609,taboense,FRANCISCO SALOM&Atilde;O DE ARA&Uacute;JO SOUSA,892.538,17264,18.85,99.2,0.610,24.75,44058.07424,43438.91752,8588.52,
Morada Nova,2308708,morada-novense,JOS&Eacute; VANDERLEY NOGUEIRA,2763.971,61590,22.33,97.6,0.610,11.58,138124.47818,127183.74765,18928.48,
Mora&uacute;jo,2308807,moraujense,CARLOS &Aacute;QUILA CUNHA DE QUEIROZ,414.446,8833,19.42,97.4,0.581,8.93,22274.27278,21764.31104,8200.94,
Morrinhos,2308906,morrinhense,JERONIMO NETO BRAND&Atilde;O,411.586,22830,49.81,95.1,0.588,21.02,50690.40271,43150.09189,7635.05,
Mucambo,2309003,mucambense,FRANCISCO DAS CHAGAS PARENTE AGUIAR,192.190,14561,73.99,98.6,0.607,11.63,38188.35135,34550.89887,8005.56,
Mulungu,2309102,mulunguense,ROBERT VIANA LEIT&Atilde;O,97.951,11056,85.35,96.9,0.607,7.04,34670.52113,26115.92919,11284.98,
Nova Olinda,2309201,nova-olindense,&Iacute;TALO BRITO ALENCAR ALVES,282.584,15798,50.13,97.3,0.625,20,46687.0978,38351.07058,10153.43,
Nova Russas,2309300,nova-russano,GIORDANNA SILVA BRAGA MANO,736.911,32487,41.69,98,0.614,13.55,61813.47715,57297.44701,9556.58,
Novo Oriente,2309409,novorientense,JESUINO RODRIGUES DE SAMPAIO NETO,947.440,28737,28.92,97.9,0.605,3.04,59518.6181,54123.86991,8921.11,
Ocara,2309458,ocarense,AMALIA LOPES DE SOUSA,763.075,25958,31.36,98.2,0.594,10.95,60494.65773,53834.80254,8912.68,
Or&oacute;s,2309508,oroense,JOS&Eacute; RUBENS LIMA VERDE,577.526,21342,37.12,97.4,0.636,27.03,49148.46668,46212.7834,9316.89,
